variable,n,mean,sd,p25,median,p75,min,max
automation,333507,3.9885865873683195,1.5727296308267011,3.1157350659486873,3.871201010907891,4.709901637847388,0,9.71787803482324
automation_raw,333507,330.2469543838794,1407.7502570459296,21.55,47,110.04123711340206,0,16610.957317073167
book_to_market,333507,0.5391880215050872,0.6905750293653442,0.202,0.404,0.725,-11.19686954231623,8.757052865456169
cost_flexibility_channel,283613,-0.878160579427326,4.266574190662127,-0.45676232222637014,-0.254174604953491,-0.1393557787375761,-75.83736666666667,-0.01393798818029161
efficiency_channel,333238,0.8685992638223309,0.724090293663072,0.3608123656007466,0.7324592054048562,1.2025336171538341,0,4.921024059401036
excess_return,333507,0.0066553459927377835,0.22137347132813903,-0.07960700000000001,-0.0011490000000000003,0.0729245,-0.99759,26.579427
investment,298821,0.23233254603951972,0.8996540675341929,-0.04305390327187226,0.04723750683785436,0.18955314967509856,-0.8396717978312218,12.417359487681004
leverage,333507,0.5119302614201472,0.3512104404334816,0.302,0.488,0.665,0.02717509575287529,44.70819973019029
market_cap,333507,9786384.67610098,58575028.77270899,139090.275,760267.2,3572429.135,53.73,3766499857
productivity_channel,333238,445.7855427788775,750.962994991191,144.27480916030532,255.1858064516129,440.67415730337075,0,9505.57860946983
profitability,333507,-0.030249969839944553,0.36774464589219696,-0.07,0.0894268827131018,0.152,-20.353431372549018,0.479
size,333507,6.431425733635001,2.274580516682892,4.810744294592196,6.451092661372588,8.003876133270165,-3.0576076772720784,11.887745960972117
stock_return,333507,0.007978343411082826,0.22134029811461564,-0.078261,0,0.0741895,-0.99569,26.583827
w_capex_intensity,332918,0.0415025219823841,0.05463011981350461,0.010145800075579817,0.02400985981689231,0.04940404465672682,0,0.46295250821847317
w_rd_intensity,333507,0.09121075548376638,0.19379115551878573,0,0.013948854201262038,0.09726045847587748,0,2.158252907588262
